event,mode,event_def,mode_def,extraction_notes
AGREE,,"Agree to, offer, promise, or otherwise indicate willingness or commitment to cooperate, including promises to sign or ratify agreements.",Indicate willingness to cooperate in the future,
AGREE,,"Agree to, offer, promise, or otherwise indicate willingness or commitment to cooperate, including promises to sign or ratify agreements.",Promise to sign a treaty,
AGREE,,"Agree to, offer, promise, or otherwise indicate willingness or commitment to cooperate, including promises to sign or ratify agreements.",Expressing willingness to meet in the future,
AGREE,,"Agree to, offer, promise, or otherwise indicate willingness or commitment to cooperate, including promises to sign or ratify agreements.",Invite a delegation to visit (note: this only includes invitations: actual visits/meetings do not fall under this definition),
AGREE,,"Agree to, offer, promise, or otherwise indicate willingness or commitment to cooperate, including promises to sign or ratify agreements.",Agree to cooperate in the future,"If two parties make a reciprocal agreement, code both as ACTOR (with no RECIPIENT)"
AGREE,,"Agree to, offer, promise, or otherwise indicate willingness or commitment to cooperate, including promises to sign or ratify agreements.",Express willingness to end a conflict,"If two parties make a reciprocal agreement, code both as ACTOR (with no RECIPIENT)"
CONSULT,visit,"All consultations and meetings: this includes visiting and hosting visits, as well as meeting at a neutral location, and consultation by phone or other media.","a political actor visiting another actor, who is hosting",The visitor is the ACTOR; host is RECIPIENT
CONSULT,third-party,"All consultations and meetings: this includes visiting and hosting visits, as well as meeting at a neutral location, and consultation by phone or other media.",A meeting between two actors is hosted by a third actor,
CONSULT,multilateral,"All consultations and meetings: this includes visiting and hosting visits, as well as meeting at a neutral location, and consultation by phone or other media.","A meeting that occurs in a multilateral context, typically an alliance or IGO","If two parties make a reciprocal agreement or have a meeting, code both as ACTOR (with no RECIPIENT)"
CONSULT,phone,"All consultations and meetings: this includes visiting and hosting visits, as well as meeting at a neutral location, and consultation by phone or other media.",Consultation that occurs via phone or some other remote medium,"If two parties make a reciprocal agreement, code both as ACTOR (with no RECIPIENT)"
SUPPORT,,"Any verbal support, verbal cooperation, approval, or finalizing a treaty or agreement. Note that this only includes verbal support. Material support or major concessions should be coded under COOPERATE, AID, or CONCEDE. This category only includes verbal support.","express support for, commend",
SUPPORT,,"Any verbal support, verbal cooperation, approval, or finalizing a treaty or agreement. Note that this only includes verbal support. Material support or major concessions should be coded under COOPERATE, AID, or CONCEDE. This category only includes verbal support.","Initiate, resume, improve, or expand diplomatic cooperation",
SUPPORT,,"Any verbal support, verbal cooperation, approval, or finalizing a treaty or agreement. Note that this only includes verbal support. Material support or major concessions should be coded under COOPERATE, AID, or CONCEDE. This category only includes verbal support.","Approve policy, action, or actor",
SUPPORT,,"Any verbal support, verbal cooperation, approval, or finalizing a treaty or agreement. Note that this only includes verbal support. Material support or major concessions should be coded under COOPERATE, AID, or CONCEDE. This category only includes verbal support.","ratify, sign, or finalize an agreement or treaty",
SUPPORT,,"Any verbal support, verbal cooperation, approval, or finalizing a treaty or agreement. Note that this only includes verbal support. Material support or major concessions should be coded under COOPERATE, AID, or CONCEDE. This category only includes verbal support.",initiation of diplomatic ties with an entity for the first time.,
CONCEDE,,Verbal concessions which have no immediate material consequences.,Make a promise of future concessions,
CONCEDE,,Verbal concessions which have no immediate material consequences.,Make a promise of future easing administrative or legal restrictions on persons and organizations,
CONCEDE,,Verbal concessions which have no immediate material consequences.,Make a promise of removing curfews in the future,
CONCEDE,,Verbal concessions which have no immediate material consequences.,declarations (but not implementations) of ceasefires,
CONCEDE,,Verbal concessions which have no immediate material consequences.,promise to withdraw from territory (in the future),
COOPERATE,,"Initiate, resume, improve, or expand mutual material cooperation or exchange. Note that this category excludes aid, which is primarily for the benefit of the recipient.","Initiate, resume, improve, or expand economic exchange or cooperation",
COOPERATE,,"Initiate, resume, improve, or expand mutual material cooperation or exchange. Note that this category excludes aid, which is primarily for the benefit of the recipient.",Military exchanges such as joint military games and maneuvers,
COOPERATE,,"Initiate, resume, improve, or expand mutual material cooperation or exchange. Note that this category excludes aid, which is primarily for the benefit of the recipient.","Engage in cooperation on judicial matters, such as extraditions and war crimes.",
COOPERATE,,"Initiate, resume, improve, or expand mutual material cooperation or exchange. Note that this category excludes aid, which is primarily for the benefit of the recipient.",Engage in voluntary exchanges or sharing of intelligence and other significant information.,
AID,,"All provisions of providing material aid whose material benefits primarily accrue to the recipient. (Activities for the benefits of both parties are defined as COOPERATION, not AID.","Provide monetary aid and financial guarantees, grants, gifts and credit",
AID,,"All provisions of providing material aid whose material benefits primarily accrue to the recipient. (Activities for the benefits of both parties are defined as COOPERATION, not AID.",Provide military and police assistance including arms and personnel.,
AID,,"All provisions of providing material aid whose material benefits primarily accrue to the recipient. (Activities for the benefits of both parties are defined as COOPERATION, not AID.",Provide humanitarian aid such as emergency assistance.,
AID,,"All provisions of providing material aid whose material benefits primarily accrue to the recipient. (Activities for the benefits of both parties are defined as COOPERATION, not AID.","Grant asylum, both to persons in its territories (territorial asylum) and diplomatic asylum on the premises of an embassy.",
AID,,"All provisions of providing material aid whose material benefits primarily accrue to the recipient. (Activities for the benefits of both parties are defined as COOPERATION, not AID.",Provide debt forgiveness or loan cancellations,
AID,,"All provisions of providing material aid whose material benefits primarily accrue to the recipient. (Activities for the benefits of both parties are defined as COOPERATION, not AID.",Rescue hostages,
RETREAT,withdraw,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Retreat from territory,NOTE: Promises of future retreats do not apply and are coded under a separate event. Only retreats that are actually occurring/occurred count.
RETREAT,withdraw,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",withdraw forces from an area,NOTE: Promises of future retreats do not apply and are coded under a separate event. Only retreats that are actually occurring/occurred count.
RETREAT,release,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Release captives,NOTE: Promises of future releases do not apply and are coded under a separate event. Only releases that are actually occurring/occurred count.
RETREAT,return,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Return property,NOTE: Promises of future returns do not apply and are coded under a separate event. Only returns of property that are actually occurring/occurred count.
RETREAT,disarm,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Disarm militarily or give up weapons,NOTE: Promises of future disarmaments do not apply and are coded under a separate event. Only retreats that are actually occurring/occurred count.
RETREAT,ceasefire,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.","Implement ceasefire (note: this does not include a promise of future ceasefire, just the actual implementation of a ceasefire)",NOTE: Promises of future ceasefires do not apply and are coded under a separate event. Only ceasefires that are actually being implemented count.
RETREAT,access,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Allow election observers into the country,
RETREAT,access,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Allow peacekeepers into the country,NOTE: Promises of future permission to peacekeepers do not apply and are coded under a separate event. Only peacekeeping operations that are actually being implemented count.
RETREAT,access,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",Allow humanitarian workers to have access,
RETREAT,resign,"RETREAT covers any events—not just military “retreat” from territory—which have immediate (not simply promised) material consequences. Promises of future actions do not fall under this category, only actions that have immediate consequences. This category differs from CONCEDE in that concessions are verbal concessions, while RETREAT relates to material concessions.",A resignation by a government official,NOTE: Promises of future resignations do not apply and are coded under a separate event. Only resignations that have already happened count.
REQUEST,assist,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Make a request for diplomatic relations or exchange,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,assist,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions","Make a request for assistance (military, economic, political, etc)",NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,change,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions","Make a request for changes in policy, government, or institutions",NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,yield,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Make a request for the release of prisoners,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,yield,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Request the end of sanctions,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,yield,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Request that curfews or boycotts be eased,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,yield,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Request for a ceasefire,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,meet,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Make a request for a meeting,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
REQUEST,meet,"All requests, demands, and orders. Requests, demands, and orders are less forceful than threats and potentially carry less serious repercussions",Make a request for negotiations,NOTE: Protests (including protests making requests) are coded under a separate PROTEST category. Protest DO NOT fall under this category.
ACCUSE,disapprove,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation","Express disapprovals, objections, and complaints",NOTE: Protests (including protests expressing disapproval) are coded under a separate PROTEST category. Protests DO NOT fall under this category.
ACCUSE,disapprove,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation","condemn, decry a policy or an action;",NOTE: Protests (including protests expressing disapproval) are coded under a separate PROTEST category. Protests DO NOT fall under this category.
ACCUSE,disapprove,"ACCUSE covers a wide range of events, including any kind of accusation, disapproval or criticism, investigation, or legal accusation","criticize, defame, denigrate responsible parties",NOTE: Protests (including protests expressing disapproval) are coded under a separate PROTEST category. Protests DO NOT fall under this category.
